City,Country,Lat,Lon,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
port macquarie,au,-31.4333,152.9167,77.9,65,71,5.66,broken clouds
ponta do sol,pt,32.6667,-17.1,68.63,69,11,3.38,few clouds
sinnamary,gf,5.3833,-52.95,78.06,87,83,8.86,broken clouds
chengde,cn,40.9725,117.9361,27.84,72,48,11.16,scattered clouds
livny,ru,52.4253,37.6069,40.73,78,82,16.78,broken clouds
yelets,ru,52.6237,38.5017,41.67,77,88,15.86,overcast clouds
ukiah,us,39.1502,-123.2078,57.52,47,90,12.66,overcast clouds
healdsburg,us,38.6105,-122.8692,60.55,51,90,5.01,overcast clouds
port alfred,za,-33.5906,26.891,59.81,83,100,17.34,light rain
khatanga,ru,71.9667,102.5,-14.35,100,75,5.28,broken clouds
aykhal,ru,66,111.5,20.86,94,100,13.42,overcast clouds
hovd,mn,48.0056,91.6419,17.47,49,0,1.86,clear sky
haibowan,cn,NaN,NaN,NaN,NaN,NaN,NaN,NaN
port augusta,au,-32.5,137.7667,76.71,38,100,7.96,overcast clouds
souillac,mu,-20.5167,57.5167,75.58,88,75,6.91,broken clouds
dikson,ru,73.5069,80.5464,5.04,93,99,4.54,overcast clouds
butaritari,ki,3.0707,172.7902,82.33,74,55,14.56,broken clouds
karratha,au,-20.7377,116.8463,71.26,47,16,17.65,few clouds
kadoma,zw,34.7333,135.5833,64.38,90,75,13.8,broken clouds
petrovsk,ru,52.3064,45.3917,45.9,80,99,12.62,overcast clouds
bazarnyy karabulak,ru,52.2683,46.4144,43.88,88,100,11.7,overcast clouds
santa lucia,es,27.9117,-15.5407,60.12,59,20,18.41,few clouds
aguimes,es,27.9054,-15.4461,65.03,57,20,18.41,few clouds
san lorenzo,ar,-25.3333,-57.5333,76.59,65,0,5.01,clear sky
dwarka,in,22.2394,68.9678,78.55,50,48,9.57,scattered clouds
bhanvad,in,21.9264,69.7736,74.88,33,92,8.57,overcast clouds
kodiak,us,57.79,-152.4072,34.5,72,36,8.23,scattered clouds
kavieng,pg,-2.5744,150.7967,85.93,69,32,16.55,scattered clouds
karaul,ru,NaN,NaN,NaN,NaN,NaN,NaN,NaN
udachnyy,ru,66.4167,112.4,21.22,90,100,7.81,overcast clouds
saskylakh,ru,71.9167,114.0833,4.28,94,100,9.42,overcast clouds
geraldton,ca,-28.7667,114.6,61.21,77,40,19.57,scattered clouds
airai,pw,-8.9266,125.4092,70.93,73,94,0.76,overcast clouds
basco,ph,20.4487,121.9702,78.84,79,95,27.87,overcast clouds
san vicente,ph,-26.6167,-54.1333,66.33,67,38,4.18,scattered clouds
gillette,us,44.2911,-105.5022,43.72,79,75,7,broken clouds
belle fourche,us,44.6714,-103.8522,46.51,71,99,5.73,overcast clouds
griffith,au,41.5284,-87.4237,60.89,77,1,3.44,clear sky
parkes,au,-33.1333,148.1833,73.18,35,31,4.74,scattered clouds
itoman,jp,26.1247,127.6694,69.82,60,75,19.57,broken clouds
tabiauea,ki,NaN,NaN,NaN,NaN,NaN,NaN,NaN
susanville,us,40.4163,-120.653,46.24,48,1,3.44,clear sky
fernley,us,39.608,-119.2518,58.06,31,83,3,broken clouds
santa isabel do rio negro,br,-0.4139,-65.0192,74.64,97,100,2.21,overcast clouds
hastings,nz,50.8552,0.5729,55.9,85,70,9.33,broken clouds
gisborne,nz,-38.6533,178.0042,65.95,70,17,8.63,few clouds
marzuq,ly,14.4,46.4667,65.07,50,1,1.92,clear sky
jumla,np,29.2747,82.1838,41.5,30,2,4.85,clear sky
yaan,cn,7.3833,8.5667,75.11,90,87,5.08,overcast clouds
linqiong,cn,30.4159,103.4609,48.02,71,44,0.89,scattered clouds
marcona,pe,NaN,NaN,NaN,NaN,NaN,NaN,NaN
coruripe,br,-10.1256,-36.1756,78.1,83,35,13.78,scattered clouds
maceio,br,-9.6658,-35.7353,80.04,94,20,3.44,few clouds
shakawe,bw,-18.3667,21.85,77.56,41,96,4.29,overcast clouds
ketchikan,us,55.3422,-131.6461,45.07,45,90,19.57,overcast clouds
rudbar,ir,30.15,62.6,53.01,62,4,4.59,clear sky
ramsar,ir,36.9226,50.6426,45.84,76,0,0,clear sky
cabo san lucas,mx,22.8909,-109.9124,83.52,69,100,3.98,overcast clouds
cangzhou,cn,38.3167,116.8667,33.28,74,2,9.71,clear sky
tanggu,cn,39.0211,117.6469,39.16,49,0,20.11,clear sky
narsaq,gl,60.9167,-46.05,11.53,78,9,3.11,clear sky
diffa,ne,13.3154,12.6113,79.75,16,1,8.3,clear sky
mao,td,39.8885,4.2658,57.76,77,90,28.77,overcast clouds
gerash,ir,27.6652,54.1371,51.94,71,0,1.92,clear sky
bandar-e lengeh,ir,26.5579,54.8807,69.91,56,0,4.61,clear sky
bambous virieux,mu,-20.3428,57.7575,75.45,88,75,6.91,light rain
north bend,us,43.4065,-124.2243,53.51,85,75,5.75,broken clouds
hasaki,jp,35.7333,140.8333,68.29,81,95,21.65,overcast clouds
soyo,ao,-6.1349,12.3689,77.47,85,95,10.58,light rain
matadi,cd,-5.8167,13.45,77.4,87,79,5.39,light rain
epernay,fr,49.05,3.95,36.39,88,9,1.19,clear sky
vitry-le-francois,fr,48.7333,4.5833,39.33,89,15,2.73,few clouds
mayumba,ga,-3.432,10.6554,77.47,90,98,4.43,moderate rain
cabinda,ao,-5.55,12.2,77.92,86,99,8.46,light rain
los chiles,cr,11.0333,-84.7167,72.91,95,79,4.76,broken clouds
bluefields,ni,12.0137,-83.7635,76.66,85,68,11.86,broken clouds
katherine,au,-14.4667,132.2667,86.32,66,78,2.3,broken clouds
calama,cl,-22.4667,-68.9333,63.09,12,6,14.97,clear sky
uyuni,bo,-20.4597,-66.825,53.04,8,76,9.6,broken clouds
saint anthony,ca,45.0205,-93.218,51.93,48,75,1.01,broken clouds
swan hill,au,-35.3378,143.5544,67.96,37,60,4.16,broken clouds
deniliquin,au,-35.5333,144.9667,68.5,30,70,6.42,broken clouds
lubango,ao,-14.9172,13.4925,65.14,70,72,2.24,light rain
jalu,ly,29.0331,21.5482,67.93,39,91,9.62,overcast clouds
faanui,pf,-16.4833,-151.75,79.14,76,18,12.08,light rain
copiapo,cl,-27.3667,-70.3333,55.09,53,0,4.18,clear sky
nome,us,64.5011,-165.4064,17.67,74,75,9.22,broken clouds
tommot,ru,58.9564,126.2925,19.78,90,97,4.21,overcast clouds
chagda,ru,NaN,NaN,NaN,NaN,NaN,NaN,NaN
chinhoyi,zw,-17.3667,30.2,72.32,32,13,4.07,few clouds
norton,zw,-17.8833,30.7,72.28,34,28,5.61,scattered clouds
kieta,pg,-6.2167,155.6333,85.53,64,10,4.12,clear sky
buala,sb,-8.145,159.5921,86.07,68,13,10.4,few clouds
namibe,ao,-15.1961,12.1522,68.14,82,6,4.29,clear sky
ambon,id,-3.6954,128.1814,84.43,74,93,4.32,overcast clouds
balabac,ph,7.9868,117.0645,83.52,81,96,13.65,overcast clouds
toora-khem,ru,52.4675,96.11,2.91,98,58,0.87,broken clouds
cherskiy,ru,68.75,161.3,4.71,96,100,3.36,light snow
murgab,tm,37.4966,61.9714,35.47,69,19,0,few clouds
maragogi,br,-9.0122,-35.2225,77.77,79,27,9.08,scattered clouds
sao jose da coroa grande,br,-8.8978,-35.1478,77.95,80,25,9.13,scattered clouds
tasiilaq,gl,65.6145,-37.6368,30.36,69,100,6.17,overcast clouds
belushya guba,ru,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mohacs,hu,45.9931,18.6831,46.35,70,99,4.36,overcast clouds
subotica,rs,46.1,19.6667,40.77,71,100,5.26,overcast clouds
cidreira,br,-30.1811,-50.2056,63.77,71,2,5.23,clear sky
nizhneyansk,ru,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lazaro cardenas,mx,17.9583,-102.2,80.98,80,35,6.04,scattered clouds
ixtapa,mx,20.7,-105.2,83.23,80,18,3,few clouds
conakry,gn,9.538,-13.6773,80.67,83,75,2.3,broken clouds
tocache,pe,-8.1842,-76.5125,74.14,90,100,1.03,overcast clouds
campoverde,pe,-8.4753,-74.8058,85.69,60,100,2.21,overcast clouds
