City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
1487,pangoa,pe,68.76,overcast clouds,-12.1167,-73.0,NaN
1491,yarada,in,70.12,mist,17.65,83.2667,MR-SAGAR_KUMAR_RTR™
1492,narasannapeta,in,68.63,broken clouds,18.4167,84.05,G.lingaraju home
1507,odweyne,so,66.74,overcast clouds,9.4092,45.064,Eng Hiirey House
1508,garowe,so,67.78,broken clouds,8.4054,48.4845,Curubo Hotel
1526,kapiri mposhi,zm,71.8,scattered clouds,-13.9652,28.6809,MA 22 LODGE
1527,mkushi,zm,69.37,few clouds,-13.6202,29.3939,Mkushi Police Club
1531,gushikawa,jp,67.62,overcast clouds,26.3544,127.8686,Kirari Guest House
1542,selma,us,66.04,overcast clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
1558,sechura,pe,66.07,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
1567,adjumani,ug,66.04,light rain,3.3779,31.7909,Hotel Zawadi
1568,kitgum,ug,68.27,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
1578,toba tek singh,pk,66.67,clear sky,30.9743,72.4827,Haji Muhammad Ashraf(x Consular)
1583,kaliua,tz,68.86,broken clouds,-5.0606,31.7936,Millennium Complex
1584,sikonge,tz,71.02,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
1586,mandalgarh,in,66.07,clear sky,25.2,75.1,दुर्गा टेंट हाऊस
1587,sangod,in,66.18,clear sky,24.9167,76.2833,krishan sharema
1593,izazi,tz,71.96,overcast clouds,-7.2,35.7333,NaN
1594,kilosa,tz,70.16,overcast clouds,-6.8333,36.9833,New Bondeni Hotel
1597,sao joao dos patos,br,71.42,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
1601,bria,cf,70.11,overcast clouds,6.5423,21.9863,NaN
1602,rafai,cf,68.97,overcast clouds,4.95,23.9167,NaN
1621,mbaiki,cf,70.21,overcast clouds,3.8678,17.9892,Motel MBM
1622,mongoumba,cf,71.6,broken clouds,3.6415,18.5936,NaN
1625,sam chuk,th,70.39,broken clouds,14.7576,100.0899,Samchuk Resort
1626,lop buri,th,70.3,broken clouds,14.7981,100.654,ลพบุรีอินน์ รีสอร์ท Lopburi Inn Resort
1642,venustiano carranza,mx,71.58,broken clouds,19.43,-99.0992,We Hotel Aeropuerto
1649,bondo,cd,68.2,few clouds,3.8146,23.6866,NaN
1694,tartus,sy,71.42,few clouds,34.889,35.8866,خيمة نبراس للاجئين
1706,opuwo,na,69.89,scattered clouds,-18.0607,13.84,ABBA Guesthouse
1716,montepuez,mz,68.68,few clouds,-13.1256,38.9997,PembaAparthotel
1737,ribeira brava,cv,68.63,broken clouds,32.65,-17.0667,Hotel do Campo
1755,nueve de julio,ar,66.7,scattered clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
1766,matay,eg,68.79,clear sky,28.419,30.7792,Nag Aespen
1784,kaniama,cd,66.96,few clouds,-7.5667,24.1833,NaN
1793,bahia honda,cu,69.78,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
1797,acari,pe,68.54,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
1804,qeshm,ir,67.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
1805,minab,ir,67.5,scattered clouds,27.1467,57.0801,Bam campground
1826,marawi,sd,67.64,light rain,7.9986,124.2928,Derogongan Residence
1846,kindu,cd,67.95,overcast clouds,-2.95,25.95,Résidence Okanda
1858,esna,eg,66.22,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
1869,wanning,cn,68.2,overcast clouds,18.8003,110.3967,Paradise Hotel
1874,kampene,cd,66.65,broken clouds,-3.6,26.6667,NaN
1881,lugoba,tz,71.17,broken clouds,-6.45,38.3333,NaN
1893,rosetta,eg,71.42,overcast clouds,31.4044,30.4164,Green Valley
1894,winslow,us,69.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
1900,caborca,mx,71.58,overcast clouds,30.5838,-111.101,Hotel Los Lagos
1903,wanaka,nz,68.77,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
1907,bandarban,bd,70.41,overcast clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
1908,saiha,in,66.85,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
1909,abong mbang,cm,67.08,light rain,3.9833,13.1833,Auberge Angle Sur
1910,yokadouma,cm,68.56,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
1919,alpoyeca,mx,70.27,few clouds,17.6667,-98.5167,"Puente VEHICULAR ALPOYECA-SAN JOSE BUENA VISTA GUERRERO, MÉXICO."
1920,dehloran,ir,68.36,clear sky,32.6941,47.2679,کافه گیم استورم
1930,taranagar,in,68.61,clear sky,28.6709,75.0351,Jyani Plaza
1931,loharu,in,68.13,clear sky,28.45,75.8167,Sainik Guest House
1934,surt,ly,71.62,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
1944,kikwit,cd,71.83,light rain,-5.041,18.8162,HOTEL PLACE YALABA
1964,sorab,in,67.19,broken clouds,14.3833,75.1,Sorba Government Guest House
1969,cocula,mx,68.77,clear sky,20.3652,-103.8222,Hotel Nandino
1974,calimete,cu,68.14,clear sky,22.5333,-80.9061,NaN
1975,encrucijada,cu,66.96,clear sky,22.6169,-79.8711,Hostal La Terraza
1990,mpanda,tz,68.16,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
1991,mbandaka,cd,71.85,overcast clouds,0.0487,18.2603,Guest House Epervier
1992,bongandanga,cd,71.24,few clouds,1.5,21.05,NaN
